System,State,County,Requesting Party,Efforts to Remove Vulnerable Persons,Efforts to Remove Persons with/Suspend Arrests for Nonviolent Offenses,Efforts to Remove Rehabilitated People w/ Little Threat to Public Safety,Efforts for Early/Accelerated Release,Date,Source(s),Additional Notes
System-Wide,Multi-State,,Fair and Just Prosecution (31 elected prosecutors),X,X,X,,3/17/2020,https://fairandjustprosecution.org/wp-content/uploads/2020/03/Coronavirus-Sign-On-Letter.pdf,Calling for release of pretrial detainees who do not pose serious risk to public safety and those vulnerable to infection
System-Wide,Nevada,State-wide,ACLU of Nevada + 6 others,X,X,,X,3/26/2020,https://mcusercontent.com/816e89df0f6d96836ee2e795b/files/2ce30169-d5d9-4e68-a207-298064528035/NV_ACLU_LETTER_ON_PRISONER_COVID_RELEASE.pdf?utm_source=email+list&utm_campaign=1baecb0973-EMAIL_CAMPAIGN_2020_04_03_08_55&utm_medium=email&utm_term=0_6bb3351c38-1baecb0973-361450249&mc_cid=1baecb0973&mc_eid=7a16d17894,See also press release
Jail,New Jersey,State-wide,Chief Justice Stuart Rabner of NJ Supreme Court,,X,,,3/24/2020,https://edition.cnn.com/2020/03/24/us/new-jersey-low-level-offenders-release-coronavirus/index.html,"Order to release hundreds of inmates throughout county jails.  This would include people detained for probation violations, municipal court convictions, disorderly person offenses, and for fourth-degree or petty crimes.  The number could be up to 1,000 released to follow stay at home orders and finish sentences after the health emergency is over."
Immigration Detention,New Jersey/New York,,New York Immigrant Family Unity Project,X,,,,3/19/2020,https://twitter.com/BklynDefender/status/1240741786093531136,"In response to Bergen County Jail, NJ employee testing positive, call for release of all immigrants, especially those vulnerable to infection"
Jail,New York,New York City (5 boroughs),"Legal Aid, Brooklyn Defender Services, Bronx Defenders, New York County Defender Services, Neighborhood Defender Services of Harlem",X,X,X,,3/16/2020,https://www.bronxdefenders.org/joint-defender-statement-calling-for-immediate-release-of-vulnerable-incarcerated-new-yorkers-in-response-to-coronavirus/,"Calling for release of those vulnerable to infection and detained for administrative reasons such as violations of conditional discharge, parole, and immigration detainers"
Jail,New York,New York City (5 boroughs),NYC Board of Correction,X,,X,X,3/17/2020,https://www1.nyc.gov/assets/boc/downloads/pdf/News/2020.03.17%20-%20Board%20of%20Correction%20Statement%20re%20Release.pdf,"Calling for release of people over 50, with underlying health conditions, detained for administrative reasons such as failure to appear and parole violations, and with sentences of one year or less ; See also 3/21 follow-up letter (https://drive.google.com/file/d/1ARC3g7EfnZBQI7o81FWHqxvKLWcojQzn/view?usp=sharing)"
System-Wide,New York,,"Releasing Aging People in Prison, Parole Preparation Project, Worth Rises, Vocal-NY",X,,,,3/17/2020,https://twitter.com/RAPPcampaign/status/1240081215270649856,Call for emergency clemencies for those vulnerable to infection
Prison,New York,,Correctional Association of New York,X,,,X,3/17/2020,https://www.correctionalassociation.org/recent-news,
Jail,New York,,Legal Aid,X,,,,3/19/2020,https://legalaidnyc.org/wp-content/uploads/2020/03/COVID-Mass-Writ-Manhattan-FINAL_116.pdf ; https://legalaidnyc.org/wp-content/uploads/2020/03/03-20-20-LAS-Files-Lawsuit-to-Release-116-Incarcerated-New-Yorkers-at-a-high-risk-of-COVID-19-from-Pretrial-Detention-or-held-on-a-Parole-Violation-.pdf,Writ of habeas for 116 people vulnerable to infection
Jail,New York,,NYCLU,X,X,X,X,3/20/2020,,
